t	1e9*scaling*thickness	stress_comp*1e-6	stress_comp*scaling*thickness	0.5*stress_tensile*1e-6	stress_tensile*scaling*thickness	area	coverage	stress-thickness	stress
5.678534	0.032128	-313.169068	-0.010061	0.000000	0.000000	640000.042152	0.010932	-0.010061	-52.862360
5.686876	0.032311	-312.855309	-0.010109	0.000000	0.000000	640000.042152	0.010980	-0.010109	-52.809398
5.700003	0.032601	-312.182300	-0.010178	0.000000	0.000000	640000.042152	0.011058	-0.010178	-52.695796
5.703742	0.032684	-312.091049	-0.010200	0.000000	0.000000	640000.042152	0.011078	-0.010200	-52.680392
5.781946	0.034488	-307.787671	-0.010615	0.000000	0.000000	640000.042152	0.011533	-0.010615	-51.953990
5.810341	0.035153	-306.325030	-0.010768	0.000000	0.000000	640000.042152	0.011702	-0.010768	-51.707099
5.861736	0.036387	-303.634574	-0.011048	0.000000	0.000000	640000.042152	0.012011	-0.011048	-51.252955
5.923981	0.037930	-300.395022	-0.011394	0.000000	0.000000	640000.042152	0.012391	-0.011394	-50.706125
5.965075	0.038969	-298.476215	-0.011631	0.000000	0.000000	640000.042152	0.012649	-0.011631	-50.382234
6.049982	0.041209	-294.490328	-0.012136	0.000000	0.000000	640000.042152	0.013189	-0.012136	-49.709423
6.083989	0.042121	-292.967776	-0.012340	0.000000	0.000000	640000.042152	0.013410	-0.012340	-49.452419
6.142747	0.043742	-290.230237	-0.012695	0.000000	0.000000	640000.042152	0.013798	-0.012695	-48.990328
6.184083	0.044906	-288.371130	-0.012950	0.000000	0.000000	640000.042152	0.014075	-0.012950	-48.676514
6.207669	0.045578	-287.339400	-0.013096	0.000000	0.000000	640000.042152	0.014237	-0.013096	-48.502360
6.274642	0.047546	-284.334303	-0.013519	0.000000	0.000000	640000.042152	0.014694	-0.013519	-47.995105
6.305752	0.048474	-282.984621	-0.013717	0.000000	0.000000	640000.042152	0.014913	-0.013717	-47.767281
6.350653	0.049841	-280.984576	-0.014005	0.000000	0.000000	640000.042152	0.015231	-0.014005	-47.429677
6.411637	0.051753	-278.340309	-0.014405	0.000000	0.000000	640000.042152	0.015670	-0.014405	-46.983330
